"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","64","deve retornar 404 para CPF não mapeado no WireMock","api","Tue Feb 24 13:51:36 UTC 2026","passed","Tue Feb 24 13:51:36 UTC 2026","Integrações Governamentais","Testes de Contrato com Governo","",""
"","0","Passo 4: [DELETE] Deve cancelar a proposta","api","Tue Feb 24 13:51:36 UTC 2026","skipped","Tue Feb 24 13:51:36 UTC 2026","CRUD - Ciclo de Vida da Proposta de Seguro","tests/api/crud-propostas.spec.ts","",""
"","1058","Deve sobreviver a uma instabilidade temporária (Erro 503) e passar na retentativa","api","Tue Feb 24 13:51:37 UTC 2026","passed","Tue Feb 24 13:51:38 UTC 2026","Resiliência e Self-Healing","Testes de Resiliência de Rede","",""
"","21","Passo 1: [POST] Deve criar uma nova proposta de seguro","api","Tue Feb 24 13:51:36 UTC 2026","failed","Tue Feb 24 13:51:36 UTC 2026","CRUD - Ciclo de Vida da Proposta de Seguro","Fluxo Integrado de Negócio","",""
"","0","Passo 3: [PATCH] Deve atualizar o status da proposta","api","Tue Feb 24 13:51:36 UTC 2026","skipped","Tue Feb 24 13:51:36 UTC 2026","CRUD - Ciclo de Vida da Proposta de Seguro","tests/api/crud-propostas.spec.ts","",""
"","293","deve retornar contrato esperado para CPF mapeado","api","Tue Feb 24 13:51:35 UTC 2026","passed","Tue Feb 24 13:51:36 UTC 2026","Integrações Governamentais","Testes de Contrato com Governo","",""
"","72","Passo 2: [GET] Deve consultar os detalhes da proposta criada (Contrato Complexo)","api","Mon Feb 23 18:55:51 UTC 2026","passed","Mon Feb 23 18:55:51 UTC 2026","CRUD - Ciclo de Vida da Proposta de Seguro","Fluxo Integrado de Negócio","",""
"","0","Passo 2: [GET] Deve consultar os detalhes da proposta criada","api","Tue Feb 24 13:51:36 UTC 2026","skipped","Tue Feb 24 13:51:36 UTC 2026","CRUD - Ciclo de Vida da Proposta de Seguro","tests/api/crud-propostas.spec.ts","",""
"","65","deve acessar a aplicação frontend","e2e","Tue Feb 24 13:51:39 UTC 2026","skipped","Tue Feb 24 13:51:39 UTC 2026","Jornada do Usuário - Frontend","Testes de UI","",""
"","0","Exceção: [GET] Deve tratar Erro 500 do servidor gracefully","api","Tue Feb 24 13:51:36 UTC 2026","skipped","Tue Feb 24 13:51:36 UTC 2026","CRUD - Ciclo de Vida da Proposta de Seguro","tests/api/crud-propostas.spec.ts","",""
"","1491","Deve recuperar dinamicamente de uma quebra de contrato na API usando Azure OpenAI","api","Tue Feb 24 13:51:35 UTC 2026","passed","Tue Feb 24 13:51:37 UTC 2026","Generative QA - Self-Healing de Contratos","tests/api/ai-healing.spec.ts","",""
