"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Passo 2: [GET] Deve consultar os detalhes da proposta criada","api","Mon Feb 23 21:10:28 UTC 2026","skipped","Mon Feb 23 21:10:28 UTC 2026","CRUD - Ciclo de Vida da Proposta de Seguro","tests/api/crud-propostas.spec.ts","",""
"","317","deve retornar 404 para CPF não mapeado no WireMock","api","Mon Feb 23 21:10:27 UTC 2026","skipped","Mon Feb 23 21:10:27 UTC 2026","Integrações Governamentais","Testes de Contrato com Governo","",""
"","355","Deve recuperar dinamicamente de uma quebra de contrato na API usando Azure OpenAI","api","Mon Feb 23 21:10:26 UTC 2026","failed","Mon Feb 23 21:10:27 UTC 2026","Generative QA - Self-Healing de Contratos","tests/api/ai-healing.spec.ts","",""
"","1","Exceção: [GET] Deve tratar Erro 500 do servidor gracefully","api","Mon Feb 23 21:10:28 UTC 2026","skipped","Mon Feb 23 21:10:28 UTC 2026","CRUD - Ciclo de Vida da Proposta de Seguro","tests/api/crud-propostas.spec.ts","",""
"","342","deve retornar contrato esperado para CPF mapeado","api","Mon Feb 23 21:10:26 UTC 2026","skipped","Mon Feb 23 21:10:27 UTC 2026","Integrações Governamentais","Testes de Contrato com Governo","",""
"","319","Deve sobreviver a uma instabilidade temporária (Erro 503) e passar na retentativa","api","Mon Feb 23 21:10:27 UTC 2026","failed","Mon Feb 23 21:10:27 UTC 2026","Resiliência e Self-Healing","Testes de Resiliência de Rede","",""
"","0","Passo 3: [PATCH] Deve atualizar o status da proposta","api","Mon Feb 23 21:10:28 UTC 2026","skipped","Mon Feb 23 21:10:28 UTC 2026","CRUD - Ciclo de Vida da Proposta de Seguro","tests/api/crud-propostas.spec.ts","",""
"","64","deve acessar a aplicação frontend","e2e","Mon Feb 23 21:10:12 UTC 2026","skipped","Mon Feb 23 21:10:12 UTC 2026","Jornada do Usuário - Frontend","Testes de UI","",""
"","1","Passo 4: [DELETE] Deve cancelar a proposta","api","Mon Feb 23 21:10:28 UTC 2026","skipped","Mon Feb 23 21:10:28 UTC 2026","CRUD - Ciclo de Vida da Proposta de Seguro","tests/api/crud-propostas.spec.ts","",""
"","72","Passo 2: [GET] Deve consultar os detalhes da proposta criada (Contrato Complexo)","api","Mon Feb 23 18:55:51 UTC 2026","passed","Mon Feb 23 18:55:51 UTC 2026","CRUD - Ciclo de Vida da Proposta de Seguro","Fluxo Integrado de Negócio","",""
"","330","Passo 1: [POST] Deve criar uma nova proposta de seguro","api","Mon Feb 23 21:10:28 UTC 2026","failed","Mon Feb 23 21:10:28 UTC 2026","CRUD - Ciclo de Vida da Proposta de Seguro","Fluxo Integrado de Negócio","",""
